Line No.  LEXEME    (TOKEN-TYPE) 	ATTRIBUTE 

17        hero      	42  (ID)      	5183808  ( id )
17        )         	145 (CLS_PAR) 	0        ( ) )
18        and       	32  (AND)     	4        ( mulop )
18        disputer  	42  (ID)      	5185064  ( id )
18        [         	120 (OPN_BRAC) 	0        ( [ )
18        Knobeloch 	42  (ID)      	5186136  ( id )
18        div       	32  (DIV)     	2        ( mulop )
18        0         	45  (INT)     	0        ( num )
18        /         	32  (DIVIDE)  	1        ( mulop )
18        12.8903e9 	45  (REAL)    	1        ( num )
18        -         	31  (MINUS)   	1        ( addop )
18        northbound 	42  (ID)      	5187944  ( id )
18        -         	31  (MINUS)   	1        ( addop )
18        (         	140 (OPN_PAR) 	0        ( ( )
18        terraced  	42  (ID)      	5189200  ( id )
19        <>        	30  (NEQ)     	1        ( relop )
19        boatsmen  	42  (ID)      	5190272  ( id )
19        or        	31  (OR)      	2        ( addop )
19        dreary    	42  (ID)      	5191344  ( id )
19        )         	145 (CLS_PAR) 	0        ( ) )
19        div       	32  (DIV)     	2        ( mulop )
19        339.796   	45  (REAL)    	2        ( num )
19        ]         	130 (CLS_BRAC) 	0        ( ] )
19        ]         	130 (CLS_BRAC) 	0        ( ] )
19        mod       	32  (MOD)     	3        ( mulop )
19        glittered 	42  (ID)      	5193336  ( id )
19        [         	120 (OPN_BRAC) 	0        ( [ )
19        mutatis   	42  (ID)      	5194408  ( id )
19        *         	32  (TIMES)   	0        ( mulop )
19        (         	140 (OPN_PAR) 	0        ( ( )
20        overstated 	42  (ID)      	5195664  ( id )
20        [         	120 (OPN_BRAC) 	0        ( [ )
20        sobs      	42  (ID)      	5196736  ( id )
20        div       	32  (DIV)     	2        ( mulop )
20        Saturdays 	42  (ID)      	5197808  ( id )
20        *         	32  (TIMES)   	0        ( mulop )
20        (         	140 (OPN_PAR) 	0        ( ( )
20        agreer    	42  (ID)      	5199064  ( id )
20        <=        	30  (LEQTHEN) 	3        ( relop )
20        Janos     	42  (ID)      	5200136  ( id )
20        )         	145 (CLS_PAR) 	0        ( ) )
20        ]         	130 (CLS_BRAC) 	0        ( ] )
20        )         	145 (CLS_PAR) 	0        ( ) )
20        ]         	130 (CLS_BRAC) 	0        ( ] )
20        mod       	32  (MOD)     	3        ( mulop )
21        8054.789e36 	45  (REAL)    	1        ( num )
21        /         	32  (DIVIDE)  	1        ( mulop )
21        (         	140 (OPN_PAR) 	0        ( ( )
21        not       	13  (NOT)     	0        ( not )
21        not       	13  (NOT)     	0        ( not )
21        (         	140 (OPN_PAR) 	0        ( ( )
21        (         	140 (OPN_PAR) 	0        ( ( )
21        nanostore 	42  (ID)      	5203232  ( id )
21        )         	145 (CLS_PAR) 	0        ( ) )
21        *         	32  (TIMES)   	0        ( mulop )
21        eliminate 	42  (ID)      	5204488  ( id )
21        [         	120 (OPN_BRAC) 	0        ( [ )
21        Opel      	42  (ID)      	5205560  ( id )
21        <>        	30  (NEQ)     	1        ( relop )
22        suppressor 	42  (ID)      	5206632  ( id )
22        ]         	130 (CLS_BRAC) 	0        ( ] )
22        mod       	32  (MOD)     	3        ( mulop )
22        gay       	42  (ID)      	5207888  ( id )
22        mod       	32  (MOD)     	3        ( mulop )
22        fees      	42  (ID)      	5208960  ( id )
22        =         	30  (EQ)      	0        ( relop )
22        not       	13  (NOT)     	0        ( not )
22        (         	140 (OPN_PAR) 	0        ( ( )
22        boredom   	42  (ID)      	5210400  ( id )
22        )         	145 (CLS_PAR) 	0        ( ) )
22        div       	32  (DIV)     	2        ( mulop )
22        vague     	42  (ID)      	5211656  ( id )
22        or        	31  (OR)      	2        ( addop )
22        rho       	42  (ID)      	5212728  ( id )
22        )         	145 (CLS_PAR) 	0        ( ) )
22        div       	32  (DIV)     	2        ( mulop )
23        98        	45  (INT)     	0        ( num )
23        -         	31  (MINUS)   	1        ( addop )
23        billboards 	42  (ID)      	5214352  ( id )
23        )         	145 (CLS_PAR) 	0        ( ) )
23        *         	32  (TIMES)   	0        ( mulop )
23        reward    	42  (ID)      	5215608  ( id )
23        [         	120 (OPN_BRAC) 	0        ( [ )
23        not       	13  (NOT)     	0        ( not )
23        motivation 	42  (ID)      	5216864  ( id )
23        ]         	130 (CLS_BRAC) 	0        ( ] )
23        or        	31  (OR)      	2        ( addop )
23        (         	140 (OPN_PAR) 	0        ( ( )
23        0         	45  (INT)     	0        ( num )
23        /         	32  (DIVIDE)  	1        ( mulop )
23        Chickasaws 	42  (ID)      	5218672  ( id )
23        [         	120 (OPN_BRAC) 	0        ( [ )
24        Triplett  	42  (ID)      	5219744  ( id )
24        +         	999 (PLUS)    	0        ( + )
24        coarsest  	42  (ID)      	5220816  ( id )
24        or        	31  (OR)      	2        ( addop )
24        imaging   	42  (ID)      	5221888  ( id )
24        div       	32  (DIV)     	2        ( mulop )
24        contester 	42  (ID)      	5222960  ( id )
24        /         	32  (DIVIDE)  	1        ( mulop )
24        (         	140 (OPN_PAR) 	0        ( ( )
24        Winchell  	42  (ID)      	5224216  ( id )
24        )         	145 (CLS_PAR) 	0        ( ) )
24        -         	31  (MINUS)   	1        ( addop )
24        puffed    	42  (ID)      	5225472  ( id )
24        *         	32  (TIMES)   	0        ( mulop )
25        not       	13  (NOT)     	0        ( not )
25        adumbrate 	42  (ID)      	5226728  ( id )
25        mod       	32  (MOD)     	3        ( mulop )
25        victimizes 	42  (ID)      	5227800  ( id )
25        [         	120 (OPN_BRAC) 	0        ( [ )
25        decal     	42  (ID)      	5228872  ( id )
25        ]         	130 (CLS_BRAC) 	0        ( ] )
25        or        	31  (OR)      	2        ( addop )
25        (         	140 (OPN_PAR) 	0        ( ( )
25        accuses   	42  (ID)      	5230312  ( id )
25        =         	30  (EQ)      	0        ( relop )
25        rotate    	42  (ID)      	5231384  ( id )
25        -         	31  (MINUS)   	1        ( addop )
25        well      	42  (ID)      	5232456  ( id )
25        )         	145 (CLS_PAR) 	0        ( ) )
26        -         	31  (MINUS)   	1        ( addop )
26        5.0687e34 	45  (REAL)    	1        ( num )
26        =         	30  (EQ)      	0        ( relop )
26        sicken    	42  (ID)      	5234080  ( id )
26        or        	31  (OR)      	2        ( addop )
26        horrendous 	42  (ID)      	5235152  ( id )
26        +         	999 (PLUS)    	0        ( + )
26        sprinted  	42  (ID)      	5236224  ( id )
26        div       	32  (DIV)     	2        ( mulop )
26        7942.324  	45  (REAL)    	2        ( num )
26        +         	999 (PLUS)    	0        ( + )
26        (         	140 (OPN_PAR) 	0        ( ( )
26        rips      	42  (ID)      	5237848  ( id )
26        >         	30  (GTHEN)   	5        ( relop )
27        shirting  	42  (ID)      	5238920  ( id )
27        )         	145 (CLS_PAR) 	0        ( ) )
27        -         	31  (MINUS)   	1        ( addop )
27        5490      	45  (INT)     	0        ( num )
27        *         	32  (TIMES)   	0        ( mulop )
27        40.364e7  	45  (REAL)    	1        ( num )
27        -         	31  (MINUS)   	1        ( addop )
27        mortifying 	42  (ID)      	5240912  ( id )
27        [         	120 (OPN_BRAC) 	0        ( [ )
27        muffin    	42  (ID)      	5241984  ( id )
27        ]         	130 (CLS_BRAC) 	0        ( ] )
27        and       	32  (AND)     	4        ( mulop )
